overall_rank,bird_name,category,max_LD,CL_max,stall_alpha,min_CD,cruise_LD,climb_LD,max_endurance_param,dCM_dCL,t_over_c,max_camber,best_alpha,best_Re,file_path,avg_LD,LD_std,max_CL,neg_alpha_LD,design_LD,high_alpha_LD,stall_method,stall_plausible,estimated_Re,Re_method,design_point_Re,design_point_LD,design_point_CL,LD_CoV,avg_confidence,low_conf_fraction,plausible_fraction,used_implausible_fallback,conditions_tested,endurance_alpha,endurance_Re,is_statically_stable,drag_bucket_width,camber_loc,LD_at_Re_1e+04,LD_at_Re_5e+04,LD_at_Re_1e+05,LD_at_Re_2e+05,LD_at_Re_5e+05,LD_at_Re_1e+06
11,Accipiter_francesiae,diving,80.0,1.0192545692583337,5.0,0.009163968526534344,23.098024689336203,24.66772816571476,134.57464009004835,-0.007951297474646794,0.1797401239994947,0.057521767762990506,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00014_Accipiter_francesiae_AR1.38.dat,17.885843462210033,24.490830520331624,1.763853100121381,8.390387564763799,28.541746854426815,9.861114501503305,curvature,True,29500.0,header,10000.0,2.3493694782094727,1.0192545692583337,1.369285670132986,0.8730502479870029,0.03333333333333333,0.9666666666666667,False,150,11.0,500000.0,True,2.0,0.34500000000000003,2.3493694782094727,3.326840295426065,4.661667827312265,26.91176853526018,80.0,80.0
12,Accipiter_gentilis,diving,80.0,1.0799267224467233,11.0,0.009069555256983048,24.23038402076115,32.682857864868204,152.62429510833232,-0.000368408593809041,0.1622140634012858,0.055289888592354765,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00015_Accipiter_gentilis_AR1.57.dat,20.253842737857294,25.375983660265337,1.7131062437394013,8.402302301263282,31.874161840334793,10.633809018377491,curvature,True,82700.0,header,100000.0,7.784317746781047,0.35715469331459726,1.2528971778741453,0.8819347402091362,0.02666666666666667,0.9733333333333334,False,150,10.0,1000000.0,True,2.5,0.34,2.3956415677407663,3.7678751297612654,7.784317746781047,53.51296233167721,80.0,80.0
13,Accipiter_gularis,diving,80.0,1.060585727179075,5.0,0.009162068599718524,23.56699823932217,29.553573783787897,150.05768103235778,-0.005777834869648419,0.17251892593953744,0.05627497462665411,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00017_Accipiter_gularis_AR1.49.dat,19.466922902792952,25.178964142153266,1.7457638931564332,8.337966707676925,30.234843694708747,10.218821181237,curvature,True,31200.0,header,50000.0,3.4833509771027433,0.61655359698272,1.2934228472810128,0.8845615652817065,0.02666666666666667,0.9733333333333334,False,150,11.0,1000000.0,True,2.0,0.34,2.368766804001253,3.4833509771027433,5.45030194150941,42.74004923279765,80.0,80.0
14,Accipiter_haplochrous,diving,80.0,1.0645316090512384,5.0,0.009253507155857842,23.781201263469416,29.982677421578455,140.75707985319184,-0.004364888064861376,0.17023472546230714,0.05629787980311324,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00019_Accipiter_haplochrous_AR1.49.dat,19.264619520108017,24.794172787086726,1.7315497690363042,8.412521749549796,30.635016841772543,10.291781494530307,curvature,True,48700.0,header,50000.0,3.5457981753602246,0.5771237261666029,1.2870314658524975,0.8841043410401206,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.374894235875244,3.5457981753602246,5.779527029850894,46.57106764706537,80.0,80.0
15,Accipiter_henicogrammus,diving,80.0,1.061926849591428,5.0,0.009221568152490893,23.687932447138927,29.574337032567858,143.43386396115855,-0.005235869661053756,0.17217674670979388,0.056670577905709486,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00020_Accipiter_henicogrammus_AR1.43.dat,19.067375293218646,24.717058473383037,1.7342416492993729,8.438882908818007,30.325589745647076,10.19628038978761,curvature,True,49400.0,header,50000.0,3.4961043254757227,0.6187840121061547,1.2963009746744083,0.8824492461704112,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.369816251640649,3.4961043254757227,5.393374616369961,44.25074888164295,80.0,80.0
16,Accipiter_hiogaster,diving,80.0,1.0591713710261612,5.0,0.00916923306574987,23.554310859250737,29.134366831870558,149.0128444320866,-0.006139152395839849,0.17390604312005215,0.05678469111146577,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00022_Accipiter_hiogaster_AR1.44.dat,18.86339605217326,24.66097480584701,1.742269339551074,8.41084504861905,29.993410104627184,10.127536253663687,curvature,True,40200.0,header,50000.0,3.454629380405258,0.6137017215902605,1.3073453703825741,0.8815999657512466,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.365198761491388,3.454629380405258,4.9904505775564845,41.065889507173154,80.0,80.0
17,Accipiter_imitator,diving,80.0,1.0579626395530741,5.0,0.009161725497558866,23.506490854405975,28.84724994239193,150.25049180657453,-0.006463404160461857,0.17480118723645943,0.05696306923431385,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00023_Accipiter_imitator_AR1.43.dat,18.736417031292977,24.615659812051565,1.7433986051352504,8.422483789577889,29.807772765351007,10.081801902865795,curvature,True,41000.0,header,50000.0,3.434677561343259,0.6114160696655339,1.3137868599504592,0.8803085145276951,0.04,0.9666666666666667,False,150,11.0,1000000.0,True,2.0,0.34,2.362821490652331,3.434677561343259,4.949824960914766,39.44314942637702,80.0,80.0
18,Accipiter_luteoschistaceus,diving,80.0,1.0576012321147343,5.0,0.009154525150063104,23.47827389688018,28.795517951002008,151.68171529313622,-0.00658736153705219,0.17495559227352564,0.05691286486318617,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00024_Accipiter_luteoschistaceu_AR1.44.dat,19.136004081132356,25.05112561654928,1.7459419565297192,8.406403732651087,29.775387498583957,10.080900549459995,curvature,True,37700.0,header,50000.0,3.43024179058693,0.6107786656496386,1.3091094776751022,0.8804851178285026,0.04,0.9733333333333334,False,150,11.0,1000000.0,True,2.0,0.34,2.3623919183202147,3.43024179058693,4.922903023564096,38.87631170998819,80.0,80.0
19,Accipiter_melanochlamys,diving,80.0,1.0640785911894408,5.0,0.009261257630647153,23.768143975323717,29.91920472837272,141.2011878636657,-0.004527215783126199,0.17058084329767323,0.056368129285528826,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00026_Accipiter_melanochlamys_AR1.46.dat,19.233938639606713,24.7826871069942,1.7320300592751543,8.418468016670577,30.5869493248557,10.275102786927965,curvature,True,49000.0,header,50000.0,3.536552711831599,0.5762168756243327,1.288487307923201,0.8838386582140652,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.3739968539560894,3.536552711831599,5.725198772120196,46.21808748816206,80.0,80.0
20,Accipiter_melanoleucus,diving,80.0,1.0724396128857685,5.0,0.009127764649893129,24.089883874028754,30.67824982975682,134.69267768502883,-0.0015056143295864453,0.16482145335663567,0.05565094659355088,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00027_Accipiter_melanoleucus_AR1.51.dat,19.672620142063902,24.912877407857412,1.717739101924265,8.423771864970453,31.474598844717985,10.522516209958022,curvature,True,71400.0,header,50000.0,3.6949727039022973,0.5926755830704391,1.2663730586763966,0.8832974964829085,0.03333333333333333,0.9666666666666667,False,150,10.0,500000.0,True,2.5,0.34,2.388990947784688,3.6949727039022973,6.960737166406401,51.68209077835304,80.0,80.0
21,Accipiter_meyerianus,diving,80.0,1.069415466443255,5.0,0.009181174748889158,23.989814292335456,30.34241479038648,135.03232611847298,-0.0024405439543010487,0.1671721048944463,0.05613590422629734,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00028_Accipiter_meyerianus_AR1.49.dat,19.494481316605032,24.83521689701278,1.719649941293561,8.467148898899142,31.141777101320155,10.408116031946886,curvature,True,73500.0,header,50000.0,3.6315318459806125,0.5865530148998601,1.2739613442239812,0.8829511134610118,0.03333333333333333,0.9666666666666667,False,150,10.0,500000.0,True,3.5,0.34,2.3829595847137828,3.6315318459806125,6.077120262404142,50.00363461443265,80.0,80.0
22,Accipiter_minullus,diving,80.0,1.0217032564559636,5.0,0.009142780381011352,23.231945527930595,25.60199921077523,134.68089492637085,-0.0076564175717956,0.1777654158280189,0.05713513687078145,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00029_Accipiter_minullus_AR1.42.dat,18.251655717776824,24.53842390244667,1.7606568943603134,8.366728123945776,29.11431737752764,9.966318878149918,curvature,True,28100.0,header,10000.0,2.3547684979662837,1.0217032564559636,1.3444491249140487,0.8770823649592072,0.03333333333333333,0.9666666666666667,False,150,11.0,500000.0,True,2.0,0.34,2.3547684979662837,3.3639428064960137,4.7313066125445165,31.607621511736866,80.0,80.0
23,Accipiter_nanus,diving,80.0,1.021715810794535,5.0,0.009143521886317934,23.2341717881615,25.596570970368653,134.63446490798773,-0.007643214207988428,0.17778001363073304,0.057153802795913644,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00030_Accipiter_nanus_AR1.42.dat,18.247627433388526,24.53499765591185,1.7601521967017213,8.37019540343305,29.1067427934637,9.963831731786835,curvature,True,28600.0,header,10000.0,2.354733764391477,1.021715810794535,1.3445581569942007,0.8769788213614866,0.03333333333333333,0.9666666666666667,False,150,10.0,500000.0,True,2.0,0.34,2.354733764391477,3.3638658531420775,4.734514644084991,31.612357289946804,80.0,80.0
24,Accipiter_nisus,diving,80.0,1.0679196355917826,5.0,0.009190264678406916,23.883193941416348,30.46003497470076,138.38070186072875,-0.003319199544338129,0.16749762704456386,0.05563621470069442,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00031_Accipiter_nisus_AR1.54.dat,19.502063471690356,24.893032941643757,1.72952391099861,8.345070095980525,31.004777497176605,10.436486198427676,curvature,True,43000.0,header,50000.0,3.618132618806329,0.584076640725024,1.2764306557277079,0.8861757602858866,0.02666666666666667,0.9666666666666667,False,150,11.0,1000000.0,True,2.5,0.34,2.381932607652078,3.618132618806329,6.096887475377761,49.040393225695354,80.0,80.0
25,Accipiter_ovampensis,diving,80.0,1.0736096976351839,5.0,0.00909279773532768,24.0920506633332,30.97527070375839,134.84701737438692,-0.0019232033531789636,0.1632052816408877,0.05486643011842494,6.0,500000.0,/Users/kanishkkarthick/Documents/Official/final itration /OUTPUT/airfoils/diving/airfoil_00033_Accipiter_ovampensis_AR1.61.dat,19.799573704670024,24.992081921576254,1.7212888765364096,8.282822172926942,31.606424754470734,10.636146877756428,curvature,True,47200.0,header,50000.0,3.736655091540533,0.5955498143874801,1.2622534723274383,0.8858514429668947,0.02666666666666667,0.9666666666666667,False,150,10.0,500000.0,True,2.5,0.335,2.3928469509125816,3.736655091540533,7.695689530263538,52.453712591729534,80.0,80.0
